0,1
45692,COLISÃO COM AVE
45729,PERDA DE CONTROLE NO SOLO
45625,ESTOURO DE PNEU
45654,COM TREM DE POUSO
45691,COLISÃO COM AVE
45864,POUSO EM LOCAL NÃO PREVISTO
45685,ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO
45619,PERDA DE CONTROLE EM VOO
45652,PERDA DE CONTROLE EM VOO
45686,COLISÃO COM AVE
46067,POUSO EM LOCAL NÃO PREVISTO
45795,PERDA DE COMPONENTE NO SOLO
45796,VAZAMENTO DE OUTROS FLUIDOS
45730,EXCURSÃO DE PISTA
45798,PERDA DE CONTROLE NO SOLO
45651,FALHA DO MOTOR EM VOO
45794,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO
45784,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO
45797,PERDA DE CONTROLE NO SOLO
46901,COM TREM DE POUSO
52057,COM TREM DE POUSO
45792,COLISÃO COM AVE
45793,ESTOURO DE PNEU
45780,COM PARA-BRISAS / JANELA / PORTA
45790,ESTOURO DE PNEU
45791,FALHA DO MOTOR EM VOO
45773,ESTOURO DE PNEU
45785,COM TRANSPORTE DE CARGA
45754,EXCURSÃO DE PISTA
45774,COM TREM DE POUSO
45731,FALHA DO MOTOR EM VOO
46069,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45753,EXCURSÃO DE PISTA
45775,ESTOURO DE PNEU
45732,PERDA DE CONTROLE EM VOO
45756,OUTROS
45755,PERDA DE CONTROLE NO SOLO
52058,PERDA DE CONTROLE NO SOLO
45733,COM TREM DE POUSO
45734,FALHA DO MOTOR EM VOO
45752,EXCURSÃO DE PISTA
45776,FALHA DO MOTOR EM VOO
47082,INDETERMINADO
45779,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45803,OUTROS
45746,PERDA DE CONTROLE EM VOO
45747,POUSO SEM TREM
45750,PERDA DE CONTROLE EM VOO
45751,PERDA DE CONTROLE NO SOLO
45749,COM TREM DE POUSO
45777,PROBLEMAS FISIOLÓGICOS
45781,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46056,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
45748,COM TREM DE POUSO
46053,TRÁFEGO AÉREO
45778,ESTOURO DE PNEU
45757,PERDA DE CONTROLE EM VOO
45759,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
45783,OUTROS
46052,FALHA DO MOTOR EM VOO
45834,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
45835,PERDA DE CONTROLE NO SOLO
46048,ESTOURO DE PNEU
45804,FALHA DO MOTOR EM VOO
46055,SUPERAQUECIMENTO
46068,OUTROS
45820,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45799,FALHA DO MOTOR EM VOO
45801,FALHA DO MOTOR NO SOLO
45844,FUMAÇA NA CABINE
45842,COLISÃO COM AERONAVE NO SOLO
46109,OUTROS
53433,PERDA DE CONTROLE EM VOO
46070,COLISÃO COM OBSTÁCULOS NO SOLO
45800,COM TREM DE POUSO
45821,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45843,TRÁFEGO AÉREO
45845,SOPRO DE REATOR
45850,OUTROS
45831,PERDA DE CONTROLE NO SOLO
45833,FALHA DO MOTOR EM VOO
46111,OUTROS
45912,PERDA DE CONTROLE NO SOLO
45822,FALHA DO MOTOR EM VOO
45830,PERDA DE CONTROLE NO SOLO
45841,OUTROS
46847,FALHA DO MOTOR EM VOO
45819,FALHA DO MOTOR EM VOO
46072,PERDA DE CONTROLE NO SOLO
45829,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45853,COM ROTOR
45849,PERDA DE CONTROLE NO SOLO
45856,COM HÉLICE
45892,FALHA DO MOTOR EM VOO
45894,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45854,COM TREM DE POUSO
45895,COLISÃO COM OBSTÁCULOS NO SOLO
45857,PERDA DE CONTROLE EM VOO
45862,FOGO EM VOO
45865,PERDA DE COMPONENTE EM VOO
45867,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45859,COM TREM DE POUSO
45861,PERDA DE COMPONENTE EM VOO
45944,POUSO BRUSCO
45866,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45890,PERDA DE COMPONENTE EM VOO
45903,TRÁFEGO AÉREO
45889,PERDA DE CONTROLE NO SOLO
52059,FALHA DO MOTOR EM VOO
45891,COM TREM DE POUSO
45915,PERDA DE CONTROLE NO SOLO
46049,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45860,OUTROS
45887,COM TREM DE POUSO
45913,FALHA DO MOTOR EM VOO
